Location,State,Total Biomass Residue (thousand tonnes/yr),Crop Residue,Manure Residue,Forest Residue,Primary Mill Residue,Secondary Mill Residue,Urban Residue,Landfill Residue
Clinton,Iowa,458261.595,341866.449,1105.145,463.000,0.000,738.482,5444.920,9663.172
Obion,Tennessee,225201.948,139435.008,723.625,9246.000,19947.000,8.165,3632.283,6896.000
Weakley,Tennessee,266993.889,120223.365,1407.170,22990.000,8722.000,252.965,3710.724,1577.000
Harrison,Iowa,368962.136,286555.758,538.461,5511.000,0.000,244.800,1797.418,0.000
Polk,Iowa,297489.358,182495.552,179.176,567.000,2627.000,4751.878,38637.934,43361.922
Davidson,Tennessee,82524.801,435.050,8.559,1510.000,476.000,8519.573,60692.813,9940.434
Morgan,Tennessee,58970.148,0.000,30.559,37365.000,18052.000,4.082,2191.733,574.694
Benton,Tennessee,70905.353,5934.047,99.022,17688.000,5641.000,489.600,1758.539,5117.161
Crockett,Tennessee,73852.227,48245.099,62.770,812.000,0.000,248.882,1636.108,0.000
Hickman,Tennessee,63970.552,3412.122,184.672,39518.000,12881.000,754.812,2552.403,868.518
Washington,Iowa,475193.148,229682.621,3837.134,12022.000,0.000,501.847,2313.551,0.000
Lauderdale,Tennessee,155740.459,82528.901,76.700,5531.000,0.000,754.812,2972.692,1452.468
Pottawattamie,Iowa,457337.960,387895.836,713.396,475.000,4523.000,265.212,9318.502,0.000
Rhea,Tennessee,63264.830,1055.282,73.701,16720.000,32682.000,493.682,3110.827,1510.886
Henderson,Tennessee,130328.774,18357.607,398.830,17370.000,9469.000,754.812,2804.782,877.000
Haywood,Tennessee,146256.695,72754.499,107.817,13521.000,0.000,248.882,2468.327,982.269
Van Buren,Tennessee,50787.651,0.000,8.559,30549.000,14097.000,244.800,676.499,455.761
Madison,Tennessee,139462.095,42412.364,435.139,6989.000,16688.000,1747.159,9947.478,9495.000
White,Tennessee,78906.286,1378.895,301.007,20398.000,51228.000,1510.524,2547.440,525.351
Monroe,Tennessee,51572.976,2557.732,385.368,22592.000,20865.000,293.789,4324.661,490.000
McMinn,Tennessee,113690.937,2052.497,479.346,13184.000,89988.000,252.965,5212.240,1403.000
Power,Idaho,84803.824,83578.729,57.991,363.000,0.000,0.000,791.640,0.000
Chester,Tennessee,58564.482,8108.573,83.190,14842.000,5678.000,244.800,1743.299,459.627
Caribou,Idaho,61065.417,59193.936,108.300,1072.000,0.000,0.000,679.103,0.000
Twin Falls,Idaho,132186.356,121556.787,3889.435,0.000,0.000,293.789,6340.046,0.000
Wayne,Tennessee,92562.914,3348.795,122.070,41996.000,35718.000,4.082,1881.753,0.000
Tipton,Tennessee,109620.292,72291.350,51.692,3399.000,0.000,4.082,5542.922,1917.706
Hamilton,Tennessee,103605.537,302.030,52.643,14497.000,35910.000,2829.319,33286.246,16219.161
Lawrence,Tennessee,161959.057,18602.014,422.606,23697.000,23545.000,501.847,4245.719,2014.074
Giles,Tennessee,78148.525,12355.822,579.665,22560.000,22007.000,261.130,3131.385,699.686
Brown,South Dakota,799013.997,408128.600,665.765,0.000,0.000,252.965,3435.387,0.000
Roberts,South Dakota,556446.529,222834.069,975.851,2726.000,0.000,8.165,893.431,0.000
Schuylkill,Pennsylvania,133919.670,16893.523,618.997,33753.000,14347.000,1273.889,15301.676,14056.000
Indiana,Pennsylvania,85348.034,13146.624,26.846,33178.000,26415.000,20.412,9266.971,858.051
Snyder,Pennsylvania,84633.767,13948.867,914.490,19875.000,21465.000,2302.078,3912.423,0.000
Pope,Illinois,79089.473,8025.660,62.536,11778.000,0.000,0.000,560.057,0.000
Huntingdon,Pennsylvania,117860.321,7695.089,105.515,55428.000,44726.000,1233.065,4620.560,0.000
Cambria,Pennsylvania,110062.045,10189.407,20.732,36975.000,33203.000,1290.218,15889.566,1674.720
Chester,Pennsylvania,126095.476,31939.330,402.653,12323.000,604.000,5347.620,43439.155,23589.000
Union,Oregon,351382.013,26628.689,44.101,8582.000,313173.000,20.412,2893.248,0.000
Gilliam,Oregon,64030.701,24391.621,14.451,0.000,0.000,0.000,288.301,39333.161
